Model,Training Time (s),Size (parameters),Test Accuracy
RNN,75.24785828590393,322113,0.8402400016784668
LSTM,54.243812084198,328353,0.8712000250816345
GRU,51.62170696258545,326369,0.8649200201034546
MLP,18.483888387680054,432897,0.5213199853897095
CNN,17.366825342178345,323137,0.8677200078964233
